id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif
0.42.34,82,3,79,286.47543,260.32178,954.83911,44.333332,21.037975,1,0,1,1,0
0.42.40,190,1,189,347.25305,151.18092,722.7851,21,38.423279,1,0,1,1,1
0.42.44,79,0,79,308.9892,,1329.5752,,26.417721,1,0,1,,
0.42.45,57,0,57,300.32104,,1425.9519,,14.824561,1,0,1,,
0.42.47,60,0,60,439.17587,,666.67065,,53.166668,1,0,1,,
0.42.48,607,2,605,115.37175,987.61877,1000.7485,38,21.393389,1,0,1,1,0
0.42.48.42,236,0,236,-3.9408772,,1064.3145,,21.75,1,0,0,,
0.42.48.42.48,104,0,104,-383.48416,,1171.3824,,16.153847,1,0,0,,
0.43,139,9,130,,1306.332,979.94885,16.555555,22.253845,1,,,0,1
0.43.48,56,2,54,214.23131,310.70416,696.75006,18.5,24.981482,1,0,1,1,1
0.44,2189,824,1365,,1026.757,1109.0924,21.66869,24.61685,1,,,1,1
0.44.24,124,31,93,634.76184,1081.9417,1970.2731,24.354839,32.462364,1,1,1,1,1
0.44.34,201,130,71,354.10825,698.12329,1900.6501,24.046154,22.704226,2,0,1,1,0
0.44.34.48,57,43,14,25.669609,1281.5475,1530.0581,12.860465,10.071428,2,0,1,1,0
0.44.35,73,23,50,395.38068,1022.4364,1020.761,24.086956,25.200001,1,0,1,0,1
0.44.39,93,39,54,112.6375,845.51251,622.36969,27.307692,36,0,0,1,0,1
0.44.40,214,29,185,339.09949,578.18951,897.12958,27,38.037838,1,0,1,1,1
0.44.42,67,2,65,81.088036,549.09509,975.1449,15.5,21.492308,1,0,1,1,1
0.44.45,293,154,139,298.3009,950.3996,1146.0835,27.844156,23.906475,0,0,1,1,0
0.44.45.44,65,35,30,136.59419,704.41614,742.97296,19.371429,30.1,0,0,1,1,1
0.44.45.48,81,35,46,-83.629684,724.07813,874.21283,19.542856,21.130434,0,0,0,1,1
0.44.48,572,205,367,70.264404,868.77277,917.08551,21.121952,19.970028,1,0,1,1,0
0.44.48.44,97,25,72,426.86658,1391.7086,1051.3082,13.56,20.319445,1,0,1,0,1
0.44.48.45,66,35,31,358.85382,1476.4025,1984.9238,18.428572,7.7741938,0,0,1,1,0
0.45,1972,1037,935,,937.43231,1129.5492,20.900675,17.082354,0,,,1,0
0.45.24,93,43,50,561.54565,809.42188,908.74274,24.953489,32.279999,0,1,1,1,1
0.45.34,203,146,57,114.36507,1036.9303,1059.5449,29.19178,14.719298,2,0,1,1,0
0.45.35,66,29,37,352.7464,1102.8396,1255.4796,21.827587,17.864864,0,0,1,1,0
0.45.40,177,51,126,240.44693,1326.7787,740.7027,18.627451,39.476189,1,0,1,0,1
0.45.44,325,179,146,81.276192,1162.6271,1262.1029,21.502792,21.952055,0,0,1,1,1
0.45.44.45,88,56,32,239.1866,674.78534,1562.8761,33.767857,21.25,2,0,1,1,0
0.45.44.48,73,45,28,-293.7648,675.28412,1027.5002,21.244444,17.178572,2,0,0,1,0
0.45.48,571,285,286,80.868263,966.86652,1012.1618,17.021053,22.534966,0,0,1,1,1
0.45.48.44,62,33,29,211.80771,1397.5198,1237.2313,9.878788,14.172414,0,0,1,0,1
0.45.48.45,103,59,44,509.52869,1312.2313,1523.1863,18.135593,20.022728,0,1,1,1,1
0.46,259,81,178,,1093.1204,1208.8691,15.111111,26.191011,1,,,1,1
0.46.48,62,25,37,285.10315,929.04413,1328.1976,20.48,28.918919,0,0,1,1,1
0.47,789,21,768,,1041.9353,638.21619,15.285714,51.963543,1,,,0,1
0.47.34,63,2,61,117.73148,1975.5854,1167.4585,9.5,19.295082,1,0,1,0,1
0.47.48,152,7,145,15.916783,626.57233,940.24762,14.857142,21.544828,1,0,1,1,1
0.48,9577,3559,6018,,876.14087,910.93817,19.509693,23.192755,1,,,1,1
0.48.15,130,21,109,792.20782,729.44098,856.31293,34.380951,31.266054,1,1,1,1,0
0.48.17,89,16,73,5361.1694,628.48688,767.5127,58.75,48.013699,1,1,1,1,0
0.48.20,57,33,24,1754.4504,455.20319,650.61786,58.81818,43.25,0,1,1,1,0
0.48.24,248,54,194,1153.8763,1147.6691,1145.4855,21.166666,27.206186,1,1,1,0,1
0.48.28,88,73,15,376.48981,481.12674,997.39014,26.452055,17.666666,2,0,1,1,0
0.48.29,312,111,201,1003.9,1101.8372,1191.7471,24.612612,32.850746,1,1,1,1,1
0.48.31,104,60,44,760.05292,969.62677,1331.1553,20.616667,16.954546,0,1,1,1,0
0.48.32,285,199,86,585.45764,1033.9342,935.1557,23.919598,20.66279,2,1,1,0,0
0.48.32.48,70,48,22,-57.460381,851.27612,1034.4636,18.375,15.454545,2,0,0,1,0
0.48.33,146,86,60,1621.4329,1805.7723,1508.5747,18.034883,15.783334,0,1,1,0,0
0.48.34,1068,527,541,358.77582,1001.9496,1100.7012,25.512335,21.977819,0,0,1,1,0
0.48.34.29,66,29,37,243.56676,999.73956,1361.2102,18.448277,24.621622,0,0,1,1,1
0.48.34.48,394,185,209,106.32493,1020.4619,1054.2107,18.837837,23.83732,0,0,1,1,1
0.48.34.48.34,107,57,50,164.43311,986.13226,1673.8816,16.85965,18.48,0,0,1,1,1
0.48.35,502,140,362,371.65887,1342.3799,879.25385,17.785715,23.662983,1,0,1,0,1
0.48.35.48,199,46,153,32.206589,715.79547,926.01984,19.391304,22.058823,1,0,1,1,1
0.48.36,196,38,158,160.07216,1348.2922,1161.2534,11.368421,17.683544,1,0,1,0,1
0.48.36.48,122,23,99,156.94455,686.34723,573.80438,15.608696,23.444445,1,0,1,0,1
0.48.37,87,8,79,54.015965,572.81348,932.46692,14.125,12.113924,1,0,1,1,0
0.48.38,239,80,159,218.32227,1646.9731,1599.371,14.25,12.062893,1,0,1,0,0
0.48.38.48,127,43,84,-234.45439,497.44974,796.41315,21.27907,24.488094,1,0,0,1,1
0.48.39,191,57,134,150.72894,959.39441,1087.0298,20.421053,19.291044,1,0,1,1,0
0.48.39.48,77,23,54,78.625984,895.54077,484.96295,16.043478,26.944445,1,0,1,0,1
0.48.40,494,49,445,223.65469,1150.799,1004.7062,11.489796,28.085394,1,0,1,0,1
0.48.40.44,58,5,53,207.45648,1184.3943,683.49017,26.200001,29.056604,1,0,1,0,1
0.48.40.48,177,19,158,56.430447,1759.6624,1123.2144,18.368422,17.56962,1,0,1,0,0
0.48.42,481,4,477,251.92099,1287.5088,1237.826,3.5,18.656185,1,0,1,0,1
0.48.42.48,262,3,259,-90.367897,420.9805,916.60577,29,22.818533,1,0,0,1,0
0.48.42.48.42,70,0,70,273.23807,,1238.454,,13.271428,1,0,1,,
0.48.43,125,7,118,103.13346,845.383,1074.3654,18,11.18644,1,0,1,1,0
0.48.43.48,74,2,72,123.6909,287.41318,821.97559,13.5,22.041666,1,0,1,1,1
0.48.44,630,186,444,481.47653,1318.7629,1362.3717,18.349463,20.02928,1,1,1,1,1
0.48.44.45,70,37,33,140.19461,862.63513,1308.0334,29.216217,15.333333,0,0,1,1,0
0.48.44.48,253,66,187,-59.926201,974.04926,1094.7598,21.30303,20.139038,1,0,0,1,0
0.48.45,626,279,347,361.95709,1120.6665,1475.7659,20.892473,13.0317,0,0,1,1,0
0.48.45.44,72,28,44,480.58942,1441.2855,987.75244,26.321428,20.772728,1,1,1,0,0
0.48.45.48,269,111,158,-4.8060927,961.80945,964.91467,18.351351,18.917721,0,0,0,1,1
0.48.46,98,34,64,391.10709,963.63068,1141.0435,20.411764,18.515625,1,0,1,1,0
0.48.47,356,3,353,-115.9604,1393.5759,1092.8789,19,33.580738,1,0,0,0,1
0.48.47.48,120,3,117,108.01267,593.04712,954.50665,27.333334,24.290598,1,0,1,1,0
